tag,dataset,draw,endpoint,information_regime,removal_kind,rank,fit_removed_energy_fraction,variance_match_abs_error,cohen_kappa,balanced_accuracy,nll,n_units,prediction_sha256,delta_kappa_vs_unchanged,delta_bacc_vs_unchanged,delta_nll_vs_unchanged
H200_s1,seedv,8,fresh_head,global_oracle,variance_matched_random,181,0.8849221028824045,2.220446049250313e-16,0.06914893617021278,0.2553191489361702,1.681845288253287,235,73ed4e7be1aeeea9bcacdc73fd7f2fb4df53e9333eaa440817f84edabfb409ad,-0.05319148936170215,-0.042553191489361764,-0.2593404089370537
H200_s1,seedv,8,exact_head,global_oracle,variance_matched_random,181,0.8849221028824045,2.220446049250313e-16,-0.015957446808510634,0.18723404255319148,2.246323385891575,235,168071bf3959b5d9a2a065f0f1927e0bb6f81c03c1c27885e5f8662d5e7511e9,-0.13829787234042556,-0.11063829787234047,0.30513768870123426
H200_s1,seedv,9,fresh_head,global_oracle,same_rank_random,15,0.016543982592417645,0.0,0.11702127659574468,0.2936170212765957,1.9225759001570324,235,18fd3ae3d0a023b4c607496c65d79a0b4bc115c13e9f60314f51f804447e22f9,-0.005319148936170248,-0.004255319148936232,-0.01860979703330834
H200_s1,seedv,9,exact_head,global_oracle,same_rank_random,15,0.016543982592417645,0.0,0.1063829787234043,0.2851063829787234,1.8982461373907598,235,fdf946ed79942b8477288e5fac5be55b185d55cc28ff787c8c2b548478c6eeb5,-0.015957446808510634,-0.012765957446808529,-0.04293955979958097
H200_s1,seedv,9,fresh_head,global_oracle,variance_matched_random,175,0.8849221028824044,1.1102230246251565e-16,0.06382978723404253,0.251063829787234,1.7182030686648155,235,95dc9d78c6f35241336ec0540e62e9b1ff56981aa3c7bf89d7beb379e58ae1de,-0.0585106382978724,-0.04680851063829794,-0.2229826285255252
H200_s1,seedv,9,exact_head,global_oracle,variance_matched_random,175,0.8849221028824044,1.1102230246251565e-16,0.04255319148936165,0.23404255319148937,2.4587488790042378,235,665b434d76290a7dfe5d124e527bed1bb86f4a231960479d86cf6e207b714057,-0.07978723404255328,-0.06382978723404259,0.517563181813897
H200_s1,seedv,10,fresh_head,global_oracle,same_rank_random,15,0.024939426929575487,0.0,0.12765957446808507,0.3021276595744681,1.8922497069291173,235,0dea74aa0c09288a6b2b43047af32ba6149783093925e4cd939e00d2a59c03f2,0.005319148936170137,0.004255319148936121,-0.04893599026122342
H200_s1,seedv,10,exact_head,global_oracle,same_rank_random,15,0.024939426929575487,0.0,0.11702127659574468,0.2936170212765957,1.8943651848128997,235,ee056e8b9ca5fffa04732f0f4cef727ce767f6838be14b99d0b5ebf49deda53c,-0.005319148936170248,-0.004255319148936232,-0.046820512377441004
H200_s1,seedv,10,fresh_head,global_oracle,variance_matched_random,177,0.8849221028824045,2.220446049250313e-16,0.04255319148936165,0.23404255319148937,1.7535796219633641,235,ef5b3bc248c226aee72f590e69196a886986896af953d5b79e40e8f47e215a41,-0.07978723404255328,-0.06382978723404259,-0.1876060752269766
H200_s1,seedv,10,exact_head,global_oracle,variance_matched_random,177,0.8849221028824045,2.220446049250313e-16,-0.05319148936170204,0.1574468085106383,3.384508301487452,235,97767f0157f6c84377506b164513436d25f9010bf5db881a03b8c85d47ebe4d3,-0.17553191489361697,-0.14042553191489365,1.4433226042971115
