feature_set,path,kernel,bandwidth_factor,statistic,trajectory_template,row_count,association
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.017501184646852172
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.02450580087124508
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.033163708399175915
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.035627954054364086
strict_source_G2_Wz,strict_source,laplacian,2.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.027873458283621984
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.07939391384215036
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.15396892977159934
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.12780730274036592
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.07533816313487988
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.06757675467935949
strict_source_G2_Wz,strict_source,laplacian,2.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.09995588610233191
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.029039315666422233
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,seed-0|level-1|S0_full_support,36,0.023140766640830993
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.018169963525940917
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.007503149378448775
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.020682222750098973
strict_source_G3_architecture,strict_source,rbf,0.5,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.02571816143877524
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,seed-0|level-0|S0_full_support,36,0.11589004987229853
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,seed-0|level-1|S0_full_support,36,0.17844346265645653
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,seed-1|level-0|S0_full_support,36,0.1299252741768414
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,seed-1|level-1|S0_full_support,36,0.13963625446612934
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,seed-2|level-0|S0_full_support,36,0.12705768417821073
strict_source_G3_architecture,strict_source,rbf,0.5,centered_hsic,seed-2|level-1|S0_full_support,36,0.11244461080192811
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.029191396115542875
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.014509363921353737
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.02306208583485302
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.026159754791881838
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.02513481369736653
strict_source_G3_architecture,strict_source,rbf,1.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.029070814514024244
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.07996067050601131
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.1389741337931492
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.10754339086642002
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.08948566651846421
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.09783629690894441
strict_source_G3_architecture,strict_source,rbf,1.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.0691355225392249
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.02884522616028785
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.025964916816351286
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.02737014731153604
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.028715311427597305
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.027768395256995423
strict_source_G3_architecture,strict_source,rbf,2.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.02911460521148296
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.07327469399941174
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.11518674108565953
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.09658939140574604
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.0736528711973833
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.08950186345838593
strict_source_G3_architecture,strict_source,rbf,2.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.05456907916701381
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.02992700214490253
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,seed-0|level-1|S0_full_support,36,0.005561997171549902
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.0206558032832378
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.014477865091428557
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.02309203663352669
strict_source_G3_architecture,strict_source,laplacian,0.5,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.027833333566752303
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,seed-0|level-0|S0_full_support,36,0.14956939079505827
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,seed-0|level-1|S0_full_support,36,0.1866564166426352
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,seed-1|level-0|S0_full_support,36,0.15872907965260985
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,seed-1|level-1|S0_full_support,36,0.16513771472266625
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,seed-2|level-0|S0_full_support,36,0.15672065522913156
strict_source_G3_architecture,strict_source,laplacian,0.5,centered_hsic,seed-2|level-1|S0_full_support,36,0.14550074588357498
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.02972109625559068
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.01239400481015217
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.024167019434848256
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.023650231857377982
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.02581559977366387
strict_source_G3_architecture,strict_source,laplacian,1.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.02930856897561623
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.13153311465976944
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.17849565944313875
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.14721442574822696
strict_source_G3_architecture,strict_source,laplacian,1.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.1466305138317156
