feature_set,path,conditioning,kernel,bandwidth_factor,statistic,association
strict_source_G4_coordinates,strict_source,source_performance,laplacian,1.0,normalized_alignment,-0.0362883748020566
strict_source_G4_coordinates,strict_source,construction_competence,laplacian,1.0,normalized_alignment,-0.03572586045872827
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,laplacian,1.0,normalized_alignment,-0.04233494740081777
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,laplacian,1.0,centered_hsic,0.1796770486808836
strict_source_G4_coordinates,strict_source,source_performance,laplacian,1.0,centered_hsic,0.185520575006055
strict_source_G4_coordinates,strict_source,construction_competence,laplacian,1.0,centered_hsic,0.1883307258244257
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,laplacian,1.0,centered_hsic,0.1763688600595713
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,laplacian,2.0,normalized_alignment,-0.042771897058005964
strict_source_G4_coordinates,strict_source,source_performance,laplacian,2.0,normalized_alignment,-0.041724801615318344
strict_source_G4_coordinates,strict_source,construction_competence,laplacian,2.0,normalized_alignment,-0.04147285023903591
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,laplacian,2.0,normalized_alignment,-0.04418273836253484
strict_source_G4_coordinates,strict_source,metadata_seed_level_order,laplacian,2.0,centered_hsic,0.16469759350278318
strict_source_G4_coordinates,strict_source,source_performance,laplacian,2.0,centered_hsic,0.17036961175242005
strict_source_G4_coordinates,strict_source,construction_competence,laplacian,2.0,centered_hsic,0.17546951951899614
strict_source_G4_coordinates,strict_source,functional_logits_probabilities,laplacian,2.0,centered_hsic,0.1617202223832576
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,rbf,0.5,normalized_alignment,0.05343473233364219
target_unlabeled_G2_Wz,target_unlabeled,source_performance,rbf,0.5,normalized_alignment,0.04578005846218701
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,rbf,0.5,normalized_alignment,-0.005715684397556092
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,rbf,0.5,normalized_alignment,0.011407906884267556
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,rbf,0.5,centered_hsic,0.24936574564441727
target_unlabeled_G2_Wz,target_unlabeled,source_performance,rbf,0.5,centered_hsic,0.24817349967266158
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,rbf,0.5,centered_hsic,0.18390238963968186
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,rbf,0.5,centered_hsic,0.20624492390051413
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,rbf,1.0,normalized_alignment,0.0011110005234499143
target_unlabeled_G2_Wz,target_unlabeled,source_performance,rbf,1.0,normalized_alignment,-0.010271667417015181
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,rbf,1.0,normalized_alignment,-0.030307253811576024
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,rbf,1.0,normalized_alignment,-0.01894352570108132
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,rbf,1.0,centered_hsic,0.23442967849117002
target_unlabeled_G2_Wz,target_unlabeled,source_performance,rbf,1.0,centered_hsic,0.2254908251019892
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,rbf,1.0,centered_hsic,0.15040604221993714
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,rbf,1.0,centered_hsic,0.18389671471827446
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,rbf,2.0,normalized_alignment,-0.030228332631309862
target_unlabeled_G2_Wz,target_unlabeled,source_performance,rbf,2.0,normalized_alignment,-0.03560272938018288
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,rbf,2.0,normalized_alignment,-0.042160362416626886
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,rbf,2.0,normalized_alignment,-0.03715418446886662
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,rbf,2.0,centered_hsic,0.20737240212906474
target_unlabeled_G2_Wz,target_unlabeled,source_performance,rbf,2.0,centered_hsic,0.19090374888473752
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,rbf,2.0,centered_hsic,0.12066933143343458
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,rbf,2.0,centered_hsic,0.16230568723507466
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,laplacian,0.5,normalized_alignment,0.033209029266784595
target_unlabeled_G2_Wz,target_unlabeled,source_performance,laplacian,0.5,normalized_alignment,0.02045428387499048
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,laplacian,0.5,normalized_alignment,-0.01697723558056589
target_unlabeled_G2_Wz,target_unlabeled,functional_logits_probabilities,laplacian,0.5,normalized_alignment,-0.00041490390457701713
target_unlabeled_G2_Wz,target_unlabeled,metadata_seed_level_order,laplacian,0.5,centered_hsic,0.25115946388276156
target_unlabeled_G2_Wz,target_unlabeled,source_performance,laplacian,0.5,centered_hsic,0.24444679489297252
target_unlabeled_G2_Wz,target_unlabeled,construction_competence,laplacian,0.5,centered_hsic,0.20692717239643793
