null,path,kernel,bandwidth_factor,statistic,observed,null_mean,null_p95,uncorrected_p,global_max_stat_p,null_replicates,bandwidth_recomputed_inside_null
N5_identity_matched,target_unlabeled,laplacian,2.0,normalized_alignment,-0.02379821118140038,-0.035802346267972365,-0.03154197252263109,0.002,1.0,499,1
N5_identity_matched,target_unlabeled,laplacian,2.0,centered_hsic,0.23385503555919518,0.20673698148991915,0.23079281162041324,0.036,0.056,499,1
N6_orbit_transformed,strict_source,rbf,0.5,normalized_alignment,0.026768950189218054,-0.02836863220953013,-0.009570869663726092,0.002,1.0,499,1
N6_orbit_transformed,strict_source,rbf,0.5,centered_hsic,0.21995448301848863,0.16678627079603411,0.1877750730565291,0.002,0.002,499,1
N6_orbit_transformed,strict_source,rbf,1.0,normalized_alignment,-0.013294172732278115,-0.03988327468629951,-0.032213445998375626,0.002,1.0,499,1
N6_orbit_transformed,strict_source,rbf,1.0,centered_hsic,0.20911650050884187,0.12605395637673159,0.15528153459383667,0.002,0.058,499,1
N6_orbit_transformed,strict_source,rbf,2.0,normalized_alignment,-0.03603430265959559,-0.04354226496795663,-0.04131756430721863,0.002,1.0,499,1
N6_orbit_transformed,strict_source,rbf,2.0,centered_hsic,0.1955737676315708,0.11089339689120782,0.14200657340967526,0.002,0.564,499,1
N6_orbit_transformed,strict_source,laplacian,0.5,normalized_alignment,0.009103853655378443,-0.03461217008757452,-0.020704689552115095,0.002,1.0,499,1
N6_orbit_transformed,strict_source,laplacian,0.5,centered_hsic,0.23107203198929646,0.19635014894187422,0.2085522850944836,0.002,0.002,499,1
N6_orbit_transformed,strict_source,laplacian,1.0,normalized_alignment,-0.014465679806498362,-0.040158582890864596,-0.03271728108578344,0.002,1.0,499,1
N6_orbit_transformed,strict_source,laplacian,1.0,centered_hsic,0.23414362161678998,0.1794681150189336,0.19797641366116325,0.002,0.002,499,1
N6_orbit_transformed,strict_source,laplacian,2.0,normalized_alignment,-0.029215406758532333,-0.042640723453389595,-0.038691397317784454,0.002,1.0,499,1
N6_orbit_transformed,strict_source,laplacian,2.0,centered_hsic,0.23155542495587772,0.1663900482799996,0.1881860624402844,0.002,0.002,499,1
N6_orbit_transformed,target_unlabeled,rbf,0.5,normalized_alignment,0.04371843745043181,-0.020963735065803873,-0.0004541437074925192,0.002,1.0,499,1
N6_orbit_transformed,target_unlabeled,rbf,0.5,centered_hsic,0.21978189311950092,0.153442524754296,0.1757907632699233,0.002,0.002,499,1
N6_orbit_transformed,target_unlabeled,rbf,1.0,normalized_alignment,-0.003356552704091697,-0.03541626496710367,-0.024089824760054453,0.002,1.0,499,1
N6_orbit_transformed,target_unlabeled,rbf,1.0,centered_hsic,0.21309575962242258,0.11494876883051856,0.1460206120715536,0.002,0.026,499,1
N6_orbit_transformed,target_unlabeled,rbf,2.0,normalized_alignment,-0.03338910538474357,-0.04200885476840781,-0.038673006791144174,0.002,1.0,499,1
N6_orbit_transformed,target_unlabeled,rbf,2.0,centered_hsic,0.2011744541765282,0.10186045393806015,0.13292304208764635,0.002,0.264,499,1
N6_orbit_transformed,target_unlabeled,laplacian,0.5,normalized_alignment,0.025581955933512198,-0.02717559294411878,-0.010536796136941936,0.002,1.0,499,1
N6_orbit_transformed,target_unlabeled,laplacian,0.5,centered_hsic,0.23603112752992755,0.19054631548778703,0.20520167328299815,0.002,0.002,499,1
N6_orbit_transformed,target_unlabeled,laplacian,1.0,normalized_alignment,-0.003998056233301587,-0.03578818216733183,-0.0250596715406315,0.002,1.0,499,1
N6_orbit_transformed,target_unlabeled,laplacian,1.0,centered_hsic,0.23772458460697768,0.170239772651621,0.19123720874450334,0.002,0.002,499,1
N6_orbit_transformed,target_unlabeled,laplacian,2.0,normalized_alignment,-0.02379821118140038,-0.0404493574865555,-0.034618773021714226,0.002,1.0,499,1
N6_orbit_transformed,target_unlabeled,laplacian,2.0,centered_hsic,0.23385503555919518,0.1559084276590657,0.1795696124295668,0.002,0.002,499,1
