target_id,level,regime,prefix_size,raw_M,effective_M_epsilon_0.05,top_two_gap,top1_miss,selected_true_rank,continuous_regret,standardized_regret,construction_eval_spearman,endpoint_derived_geometry_diagnostic_only
2,1,OACI,20,20,1,0.07500000000000007,1,2,0.07500000000000007,0.08144796380090505,0.8947368421052632,1
2,1,OACI,40,40,1,0.07500000000000007,1,10,0.2583333333333333,0.28054298642533937,0.7428222931131545,1
2,1,SRC,5,5,1,0.11666666666666659,0,1,0.0,0.0,0.8999999999999998,1
2,1,SRC,10,10,1,0.11666666666666659,0,1,0.0,0.0,0.8753839828992931,1
2,1,SRC,20,20,1,0.11666666666666659,0,1,0.0,0.0,0.6630271084337349,1
2,1,SRC,40,40,4,0.004166666666666763,0,1,0.0,0.0,0.8606888176037137,1
3,0,OACI,5,5,1,0.06666666666666654,1,2,0.06666666666666654,0.08888888888888873,0.8999999999999998,1
3,0,OACI,10,10,2,0.03749999999999998,1,3,0.06666666666666654,0.08695652173913028,0.9272727272727272,1
3,0,OACI,20,20,2,0.03749999999999998,1,4,0.06666666666666654,0.08290155440414491,0.9755547888093007,1
3,0,OACI,40,40,3,0.03749999999999998,1,5,0.06666666666666654,0.08290155440414491,0.9546222472826761,1
3,0,SRC,5,5,1,0.10416666666666652,0,1,0.0,0.0,0.9746794344808963,1
3,0,SRC,10,10,1,0.08333333333333326,0,1,0.0,0.0,0.9848069807617046,1
3,0,SRC,20,20,1,0.08333333333333326,0,1,0.0,0.0,0.9382994732881863,1
3,0,SRC,40,40,1,0.08333333333333326,0,1,0.0,0.0,0.8911360575616931,1
3,1,OACI,5,5,1,0.15833333333333333,0,1,0.0,0.0,0.9999999999999999,1
3,1,OACI,10,10,2,0.008333333333333304,0,1,0.0,0.0,0.9151515151515152,1
3,1,OACI,20,20,4,0.04166666666666663,1,2,0.04166666666666663,0.046728971962616786,0.9051921298373942,1
3,1,OACI,40,40,4,0.04166666666666663,1,2,0.04166666666666663,0.046728971962616786,0.9312722878296947,1
3,1,SRC,5,5,3,0.004166666666666763,1,2,0.004166666666666763,0.011904761904762178,0.39999999999999997,1
3,1,SRC,10,10,1,0.054166666666666474,1,3,0.05833333333333324,0.14432989690721632,0.7234075969792769,1
3,1,SRC,20,20,2,0.04583333333333317,1,4,0.05833333333333324,0.11382113821138194,0.8607978358553441,1
3,1,SRC,40,40,3,0.012500000000000067,1,3,0.02083333333333337,0.02304147465437792,0.9172882956376934,1
5,0,OACI,5,5,1,0.11458333333333326,0,1,0.0,0.0,0.49999999999999994,1
5,0,OACI,10,10,1,0.08333333333333337,1,2,0.08333333333333337,0.18018018018018025,0.46200821319684915,1
5,0,OACI,20,20,2,0.04583333333333339,0,1,0.0,0.0,0.6731854556548373,1
5,0,OACI,40,40,2,0.04583333333333339,0,1,0.0,0.0,0.7198085891983235,1
5,0,SRC,5,5,1,0.19999999999999996,0,1,0.0,0.0,0.6,1
