dataset,target_subject,method,n_source_seeds,bacc_q01,bacc_q05,bacc_q09,acc_q01,acc_q05,acc_q09,prevalence_sensitivity,endpoint_mean_bacc,worst_prevalence_bacc,prediction_disagreement_q01_vs_q05,prediction_disagreement_q09_vs_q05,endpoint_mean_prediction_disagreement
Lee2019_MI,3,rct,3,0.6733333333333332,0.7600000000000001,0.7066666666666667,0.6733333333333333,0.7600000000000001,0.7066666666666667,0.07000000000000017,0.69,0.6733333333333332,0.22,0.21333333333333335,0.21666666666666667
Lee2019_MI,3,spdim_geodesic,3,0.68,0.7533333333333333,0.7200000000000001,0.68,0.7533333333333333,0.7200000000000001,0.05333333333333323,0.7000000000000001,0.68,0.2333333333333333,0.21999999999999997,0.22666666666666663
Lee2019_MI,3,spdim_bias,3,0.6733333333333332,0.7666666666666666,0.7333333333333334,0.6733333333333333,0.7666666666666666,0.7333333333333334,0.0633333333333333,0.7033333333333334,0.6733333333333332,0.21333333333333335,0.22,0.21666666666666667
Lee2019_MI,3,Joint-GEM,3,0.6933333333333334,0.7600000000000001,0.7466666666666667,0.6933333333333334,0.7600000000000001,0.7466666666666667,0.04000000000000009,0.72,0.6933333333333334,0.18666666666666668,0.12000000000000001,0.15333333333333335
Lee2019_MI,3,FP-GEM,3,0.7066666666666667,0.7533333333333333,0.7333333333333334,0.7066666666666667,0.7533333333333333,0.7333333333333334,0.03333333333333327,0.72,0.7066666666666667,0.18000000000000002,0.13999999999999999,0.16
Lee2019_MI,4,source_only_tsmnet,3,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.0,0.5066666666666667,0.5066666666666667,0.0,0.0,0.0
Lee2019_MI,4,rct,3,0.6666666666666666,0.68,0.6733333333333333,0.6666666666666666,0.68,0.6733333333333333,0.010000000000000064,0.6699999999999999,0.6666666666666666,0.02666666666666667,0.12666666666666668,0.07666666666666667
Lee2019_MI,4,spdim_geodesic,3,0.68,0.66,0.6533333333333333,0.68,0.66,0.6533333333333333,0.013333333333333364,0.6666666666666667,0.6533333333333333,0.03333333333333333,0.19333333333333336,0.11333333333333334
Lee2019_MI,4,spdim_bias,3,0.6533333333333333,0.66,0.6466666666666666,0.6533333333333333,0.66,0.6466666666666666,0.010000000000000064,0.6499999999999999,0.6466666666666666,0.04666666666666667,0.08,0.06333333333333334
Lee2019_MI,4,Joint-GEM,3,0.6333333333333334,0.6466666666666666,0.6466666666666666,0.6333333333333334,0.6466666666666666,0.6466666666666666,0.006666666666666599,0.64,0.6333333333333334,0.10666666666666667,0.09333333333333334,0.1
Lee2019_MI,4,FP-GEM,3,0.6466666666666666,0.62,0.6333333333333333,0.6466666666666666,0.62,0.6333333333333333,0.019999999999999962,0.6399999999999999,0.6333333333333333,0.05333333333333334,0.12,0.08666666666666667
Lee2019_MI,5,source_only_tsmnet,3,0.56,0.56,0.56,0.56,0.56,0.56,0.0,0.56,0.56,0.0,0.0,0.0
Lee2019_MI,5,rct,3,0.68,0.6466666666666666,0.6466666666666666,0.68,0.6466666666666666,0.6466666666666666,0.01666666666666672,0.6633333333333333,0.6466666666666666,0.22000000000000006,0.10666666666666667,0.16333333333333336
Lee2019_MI,5,spdim_geodesic,3,0.6666666666666666,0.6333333333333333,0.6533333333333333,0.6666666666666666,0.6333333333333333,0.6533333333333333,0.026666666666666672,0.6599999999999999,0.6533333333333333,0.18000000000000002,0.08666666666666667,0.13333333333333336
Lee2019_MI,5,spdim_bias,3,0.6733333333333333,0.6333333333333333,0.64,0.6733333333333333,0.6333333333333333,0.64,0.023333333333333373,0.6566666666666667,0.64,0.22666666666666666,0.11333333333333334,0.16999999999999998
Lee2019_MI,5,Joint-GEM,3,0.6266666666666667,0.6533333333333333,0.5933333333333334,0.6266666666666666,0.6533333333333333,0.5933333333333334,0.04333333333333328,0.6100000000000001,0.5933333333333334,0.05333333333333334,0.18000000000000002,0.11666666666666668
Lee2019_MI,5,FP-GEM,3,0.62,0.6533333333333333,0.62,0.62,0.6533333333333333,0.62,0.033333333333333326,0.62,0.62,0.07333333333333335,0.18000000000000002,0.12666666666666668
Lee2019_MI,6,source_only_tsmnet,3,0.54,0.54,0.54,0.54,0.54,0.54,0.0,0.54,0.54,0.0,0.0,0.0
Lee2019_MI,6,rct,3,0.6533333333333334,0.6533333333333332,0.6133333333333334,0.6533333333333333,0.6533333333333333,0.6133333333333333,0.020000000000000018,0.6333333333333334,0.6133333333333334,0.12,0.22666666666666668,0.17333333333333334
Lee2019_MI,6,spdim_geodesic,3,0.6466666666666666,0.6533333333333332,0.6066666666666668,0.6466666666666666,0.6533333333333333,0.6066666666666668,0.026666666666666505,0.6266666666666667,0.6066666666666668,0.09999999999999999,0.2333333333333333,0.16666666666666666
Lee2019_MI,6,spdim_bias,3,0.6466666666666666,0.6666666666666666,0.6133333333333334,0.6466666666666667,0.6666666666666666,0.6133333333333333,0.036666666666666625,0.63,0.6133333333333334,0.03333333333333333,0.36000000000000004,0.19666666666666668
Lee2019_MI,6,Joint-GEM,3,0.64,0.64,0.5533333333333333,0.64,0.64,0.5533333333333333,0.043333333333333335,0.5966666666666667,0.5533333333333333,0.13333333333333333,0.19333333333333333,0.16333333333333333
Lee2019_MI,6,FP-GEM,3,0.6333333333333334,0.64,0.56,0.6333333333333333,0.64,0.56,0.04333333333333328,0.5966666666666667,0.56,0.14,0.21333333333333335,0.1766666666666667
Lee2019_MI,7,source_only_tsmnet,3,0.5466666666666667,0.5466666666666667,0.5466666666666667,0.5466666666666667,0.5466666666666667,0.5466666666666667,0.0,0.5466666666666667,0.5466666666666667,0.0,0.0,0.0
Lee2019_MI,7,rct,3,0.5066666666666667,0.5066666666666667,0.52,0.5066666666666667,0.5066666666666667,0.52,0.006666666666666654,0.5133333333333334,0.5066666666666667,0.06666666666666667,0.13333333333333333,0.1
Lee2019_MI,7,spdim_geodesic,3,0.5066666666666667,0.52,0.5333333333333333,0.5066666666666667,0.52,0.5333333333333333,0.013333333333333308,0.52,0.5066666666666667,0.04,0.17333333333333334,0.10666666666666667
Lee2019_MI,7,spdim_bias,3,0.52,0.5333333333333333,0.5533333333333333,0.52,0.5333333333333333,0.5533333333333333,0.016666666666666663,0.5366666666666666,0.52,0.05333333333333334,0.14,0.09666666666666668
Lee2019_MI,7,Joint-GEM,3,0.52,0.5066666666666667,0.49333333333333335,0.52,0.5066666666666667,0.49333333333333335,0.013333333333333336,0.5066666666666667,0.49333333333333335,0.09333333333333334,0.08,0.08666666666666667
Lee2019_MI,7,FP-GEM,3,0.52,0.5,0.49333333333333335,0.52,0.5,0.49333333333333335,0.013333333333333336,0.5066666666666667,0.49333333333333335,0.10000000000000002,0.07333333333333333,0.08666666666666667
Lee2019_MI,8,source_only_tsmnet,3,0.5266666666666667,0.5266666666666667,0.5266666666666667,0.5266666666666667,0.5266666666666667,0.5266666666666667,0.0,0.5266666666666667,0.5266666666666667,0.0,0.0,0.0
Lee2019_MI,8,rct,3,0.6733333333333332,0.7200000000000001,0.6999999999999998,0.6733333333333333,0.7200000000000001,0.7000000000000001,0.03333333333333355,0.6866666666666665,0.6733333333333332,0.08666666666666667,0.04666666666666667,0.06666666666666667
Lee2019_MI,8,spdim_geodesic,3,0.64,0.6999999999999998,0.7266666666666666,0.64,0.6999999999999998,0.7266666666666666,0.04333333333333328,0.6833333333333333,0.64,0.11333333333333333,0.04,0.07666666666666666
Lee2019_MI,8,spdim_bias,3,0.6666666666666666,0.7133333333333333,0.68,0.6666666666666666,0.7133333333333333,0.68,0.039999999999999925,0.6733333333333333,0.6666666666666666,0.12666666666666668,0.06,0.09333333333333334
Lee2019_MI,8,Joint-GEM,3,0.6666666666666666,0.6866666666666666,0.68,0.6666666666666666,0.6866666666666666,0.68,0.013333333333333308,0.6733333333333333,0.6666666666666666,0.060000000000000005,0.08666666666666667,0.07333333333333333
Lee2019_MI,8,FP-GEM,3,0.6466666666666666,0.6866666666666666,0.6866666666666666,0.6466666666666666,0.6866666666666666,0.6866666666666666,0.020000000000000018,0.6666666666666666,0.6466666666666666,0.09333333333333334,0.08,0.08666666666666667
Lee2019_MI,9,source_only_tsmnet,3,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0,0.5533333333333333,0.5533333333333333,0.0,0.0,0.0
Lee2019_MI,9,rct,3,0.7266666666666666,0.7200000000000001,0.7066666666666667,0.7266666666666666,0.7200000000000001,0.7066666666666667,0.009999999999999953,0.7166666666666666,0.7066666666666667,0.14,0.18666666666666668,0.16333333333333333
Lee2019_MI,9,spdim_geodesic,3,0.7399999999999999,0.7133333333333334,0.7200000000000001,0.7399999999999999,0.7133333333333334,0.7200000000000001,0.016666666666666607,0.73,0.7200000000000001,0.09333333333333334,0.18000000000000002,0.1366666666666667
Lee2019_MI,9,spdim_bias,3,0.7266666666666666,0.7200000000000001,0.7133333333333333,0.7266666666666666,0.7200000000000001,0.7133333333333334,0.006666666666666654,0.72,0.7133333333333333,0.04666666666666667,0.22,0.13333333333333333
Lee2019_MI,9,Joint-GEM,3,0.6933333333333334,0.68,0.6933333333333334,0.6933333333333334,0.68,0.6933333333333334,0.013333333333333308,0.6933333333333334,0.6933333333333334,0.09333333333333334,0.22666666666666668,0.16
Lee2019_MI,9,FP-GEM,3,0.68,0.6999999999999998,0.6999999999999998,0.68,0.6999999999999998,0.6999999999999998,0.009999999999999898,0.69,0.68,0.09999999999999999,0.24,0.16999999999999998
Lee2019_MI,10,source_only_tsmnet,3,0.58,0.58,0.58,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.0,0.58,0.58,0.0,0.0,0.0
Lee2019_MI,10,rct,3,0.7066666666666667,0.7133333333333333,0.6733333333333333,0.7066666666666667,0.7133333333333333,0.6733333333333333,0.02333333333333326,0.69,0.6733333333333333,0.13999999999999999,0.12,0.13
